x,y,z
4.975535,-0.535170,8.240136
0.167926,4.977573,8.088586
-4.813534,-1.338646,7.420140
-4.304019,2.557452,7.864254
-2.507817,4.314371,3.824208
-4.365570,2.449034,14.810133
-3.919015,-3.113357,14.796522
4.922397,0.804328,16.083638
5.005223,0.043810,6.421686
4.230018,2.644579,4.636535
-1.940232,4.605062,13.454555
2.429334,4.369122,14.399755
-3.563241,-3.513476,6.444642
0.093716,5.005195,11.007676
3.503623,-3.570146,3.268302
1.632974,4.731547,17.846269
4.372193,-2.458484,17.722530
3.964980,-3.049696,2.581372
3.113893,3.919746,12.415755
-1.582605,4.754686,8.878822
3.923202,-3.099332,16.860848
0.342756,4.985686,18.272670
-4.357907,2.445882,11.358161
1.195059,-4.853963,19.487546
2.243522,-4.466225,2.470367
-4.769134,-1.500136,19.041586
4.919009,-0.932979,5.741306
-2.953858,-4.035163,16.861043
-0.537439,-4.942550,3.606358
4.343106,2.472347,14.850297
0.582823,4.966073,0.261078
-1.734695,-4.683770,1.973860
-4.666982,1.766092,12.206224
0.582299,-4.956617,18.229385
4.677403,-1.777245,11.318210
2.293242,-4.444717,4.858209
-1.932445,4.604881,4.649779
1.664609,-4.732642,6.807123
0.382627,4.987156,16.952830
-4.996072,-0.214790,8.224070
-2.258979,4.457772,19.923980
1.695942,-4.716146,8.049623
-1.525845,-4.749315,7.325266
4.729863,-1.661754,1.059067
-0.984246,-4.913777,14.724076
4.087123,2.869097,13.076624
3.646429,3.415970,19.466484
-1.844453,-4.658072,8.159310
4.850023,-1.211858,9.178884
-3.747304,3.329228,7.591520
-0.416971,4.975978,2.868784
4.994134,0.321190,4.172506
-0.952926,4.908708,9.935317
0.192611,4.989772,10.505384
2.828826,-4.113187,4.821576
4.368010,2.416970,10.134572
3.592590,-3.508714,3.108132
2.139740,-4.503010,9.147471
-1.523197,-4.760350,12.933840
3.099192,3.901614,4.681966
-1.366383,4.805178,8.861082
1.480535,-4.779624,17.878125
1.091687,4.868092,7.745653
1.586982,4.762187,0.847919
3.978132,-3.026723,3.449065
-0.226533,-5.000778,9.980217
-4.619410,-1.893422,16.942904
-4.573496,2.011539,7.317663
0.237628,4.999984,17.513429
-4.507283,-2.228999,7.562340
-2.712216,4.226456,9.812350
3.572972,-3.488554,9.588325
2.161469,4.512217,9.170718
4.905712,0.955163,14.088192
-4.843937,-1.243060,7.616233
4.537815,-2.108914,10.201609
2.182254,4.511691,8.187577
-4.432704,-2.285709,6.603799
-4.715872,-1.663602,15.288700
4.982270,-0.318766,13.601212
-0.024512,-5.009425,17.733819
4.652527,1.819511,8.640552
2.157043,-4.504920,12.602521
4.954868,0.740028,1.979243
4.412244,2.361257,7.226910
-0.873723,-4.934238,7.963404
-2.614281,-4.287665,19.981899
3.563919,-3.464444,6.036789
3.365241,-3.685926,5.690979
-3.062312,-3.948736,13.162334
3.718296,-3.340912,18.763694
4.313169,-2.504171,14.532285
1.932378,4.603560,1.858578
4.076416,-2.857346,16.042019
4.517091,2.157781,12.300713
0.403029,-4.983437,12.199519
-4.970187,-0.418243,10.902073
4.993293,-0.018028,16.822317
-0.095875,5.004241,9.466700
2.236269,4.476737,19.445389
4.192663,-2.735878,19.054558
1.996889,-4.574082,18.144231
-4.472852,2.244372,11.093656
3.752342,3.283104,4.386361
-2.565485,4.317597,17.157877
-4.937365,0.745912,1.385901
1.477537,-4.786047,15.066911
4.202938,-2.708071,10.663675
5.020613,0.153489,18.713475
2.404240,-4.380342,7.911470
-2.039261,4.548439,2.025455
0.199817,-4.993419,16.473378
-2.997394,4.005645,11.313528
2.994235,4.001392,9.551908
0.754794,4.935796,15.111539
-4.095876,2.871019,10.501100
4.395510,2.403743,8.914879
-4.175639,2.755769,5.514503
-1.046010,4.871692,4.442500
-4.994553,0.299534,11.508492
-4.446551,2.307981,17.657037
0.437522,-4.979935,11.820735
-4.785670,-1.424359,8.421417
-4.992860,-0.338171,5.139587
0.652514,-4.951840,18.935006
4.724868,1.692137,8.163949
2.848037,-4.102121,16.825662
-4.965850,0.632557,16.304461
-1.710790,-4.706969,9.807279
-4.945563,-0.707774,19.482956
-3.125315,-3.881785,18.411497
-1.599512,4.735215,18.624335
0.736662,-4.954270,16.293415
-3.753815,-3.310481,19.125409
4.942124,-0.746440,9.444386
-3.750278,3.312155,6.820979
-3.953208,3.054473,5.707966
-4.714597,-1.681588,14.909177
0.568089,-4.957217,7.757379
-2.478844,4.325234,9.409002
0.121087,4.983587,6.347323
-3.345158,-3.721922,2.974807
4.969132,-0.496461,13.673425
-3.259263,3.802341,13.690637
-0.296712,4.987004,17.823460
-4.553074,2.066394,8.998088
-4.885680,1.078393,3.825924
1.840765,-4.649711,19.731328
0.217737,-4.994528,10.325505
-4.987456,-0.347058,18.959746
0.550189,4.956955,18.366611
4.931013,0.749245,4.773415
-4.699508,-1.681077,7.967837
-4.824686,1.372608,4.973903
-4.820791,-1.371336,6.494853
-4.310425,-2.528235,14.286749
4.071301,2.893384,1.354933
-4.278594,2.590767,2.624555
4.363514,-2.418881,7.063443
2.166168,-4.490235,15.074780
-4.905728,-0.934121,13.153559
0.652305,-4.974485,14.703822
0.833760,4.921074,8.149811
-2.511963,4.330995,11.561396
0.226398,-5.001347,11.181483
-3.755951,-3.315333,4.384321
4.706255,-1.707180,12.185545
-4.062931,-2.912901,6.124973
-1.508326,-4.773237,12.554729
-4.193014,2.706980,1.579875
-4.189037,2.707885,3.155639
-3.237587,3.814122,6.836793
-3.213560,-3.838058,13.589250
-4.951014,0.703566,3.064581
3.843397,3.189719,6.690388
4.004089,2.995476,14.842226
2.386480,-4.392031,6.989942
4.964810,0.549559,4.775140
-0.541952,4.973878,19.972281
2.053776,-4.563787,5.425598
-4.817375,1.374358,1.774995
-4.946240,-0.702017,4.546655
3.493506,-3.569911,5.689830
-1.270574,-4.827985,8.920947
-1.449650,-4.782285,5.981930
-0.582256,4.964874,2.804766
4.329397,-2.517314,6.065430
-0.817680,-4.942114,19.995706
-4.973796,-0.482423,1.262020
1.469857,4.794919,11.893196
5.005989,-0.096541,4.880886
3.946950,-3.088893,14.110847
-2.097745,4.553838,13.257453
-0.410407,4.966132,8.524116
